,TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,SUBLOCALITY,LATITUDE,LONGITUDE,BEDS_BATH_RATIO,SQFT_BEDS_RATIO,SQFT_BATH_RATIO,SQFT For TotalRooms,LOCATION_SIZE,Distance_to_center
0,2,315000,2,2.0,1400.0,10,40.761255,-73.9744834,1.0,700.0,700.0,350.0,-4221409.893904933,1735.2945652299236
3,2,69000,3,1.0,445.0,12,40.7613979,-73.9746128,3.0,148.33333333333334,445.0,111.25,-1341812.3389434586,1721.3160674060466
6,2,899500,2,2.0,2184.207862,11,40.809448,-73.946777,1.0,1092.103931,1092.103931,546.0519655,-6591343.368037035,4189.084754017876
8,0,265000,1,1.0,750.0,5,40.8215857,-73.8740892,1.0,750.0,750.0,375.0,-2261743.097465433,9587.6655624076
10,0,375000,2,1.0,850.0,20,40.8248699,-73.9229829,2.0,425.0,850.0,283.3333333333333,-2565211.735585561,6728.50895673502
11,12,689000,3,2.3738608579684373,1162.0,16,40.6249962,-74.1553058,1.2637640449438203,387.3333333333333,489.4979400749064,216.23187326798197,-3500593.576981081,22913.265139641364
13,0,430000,2,2.0,2184.207862,13,40.7438639,-73.8745722,1.0,1092.103931,1092.103931,546.0519655,-6574324.8168224525,8928.136329231096
15,2,549000,2,2.0,1000.0,19,40.5406209,-74.1671632,1.0,500.0,500.0,250.0,-3006782.8465196313,31014.0178377328
16,12,975000,3,2.0,1734.0,14,40.7607676,-73.9056672,1.5,578.0,867.0,346.8,-5223591.291257755,5805.030291141566
18,0,350000,1,1.0,700.0,20,40.9073699,-73.9065578,1.0,700.0,700.0,350.0,-2116326.028572231,15520.095555899119
19,2,599000,2,2.0,974.0,13,40.7324713,-73.8670804,1.0,487.0,487.0,243.5,-2930560.2253651903,10062.559290530331
20,7,639999,3,2.0,1260.0,16,40.6207403,-74.1114362,1.5,420.0,630.0,252.0,-3793181.3679566756,20980.319663637463
21,2,1300000,2,2.0,1244.0,13,40.7202429,-73.8430513,1.0,622.0,622.0,311.0,-3740592.289853972,12495.28655646491
23,2,349900,1,1.0,651.0,19,40.5902064,-74.0958034,1.0,651.0,651.0,325.5,-1957924.133650264,23239.962243113558
31,2,329000,1,2.0,794.0,16,40.6210398,-74.1504313,0.5,794.0,397.0,264.6666666666667,-2391581.6910934257,22967.082679100487
45,10,699000,4,3.0,1591.0,14,40.6847504,-73.8027331,1.3333333333333333,397.75,530.3333333333334,227.28571428571428,-4777209.428043007,17500.82819739161
47,10,825000,2,2.0,2184.207862,14,40.768457,-73.789417,1.0,1092.103931,1092.103931,546.0519655,-6570710.299296202,15345.151767893727
48,2,329000,2,1.0,837.0,19,40.6315346,-74.0856344,2.0,418.5,837.0,279.0,-2519548.2956362427,18796.84160452747
49,10,889000,2,2.0,1520.0,16,40.6233188,-74.1259917,1.0,760.0,760.0,380.0,-4577090.564136786,21466.261520220334
50,10,769000,2,2.0,2184.207862,14,40.6868333,-73.8309133,1.0,1092.103931,1092.103931,546.0519655,-6561242.6052596,15484.488125148391
51,10,1200000,4,2.0,2536.0,9,40.6042861,-74.0012526,2.0,634.0,1268.0,422.6666666666667,-7620091.729985759,19334.287311497745
52,0,220500,2,1.0,900.0,19,40.6481488,-74.0847983,2.0,450.0,900.0,300.0,-2710268.9146047486,17196.722725225558
53,10,1999000,3,3.0,2739.0,9,40.6281691,-74.0297598,1.0,913.0,913.0,456.5,-8238072.769268196,17232.357554397295
62,0,750000,1,1.0,835.0,11,40.7643711,-73.9593578,1.0,835.0,835.0,417.5,-2517447.1009101947,1699.1226624344874
63,2,1900000,2,2.0,1029.0,11,40.7193408,-73.9856438,1.0,514.5,514.5,257.25,-3100013.396881396,6488.549812041809
67,4,619888,3,2.0,1400.0,16,40.5632116,-74.1002521,1.5,466.6666666666667,700.0,280.0,-4208041.887763903,26108.35297655511
68,10,1489000,6,2.3738608579684373,3780.0,16,40.5395319,-74.1450877,2.5275280898876407,630.0,1592.3426966292136,451.4046822742475,-11361951.019600453,30169.31688220043
70,2,1595000,3,3.0,1413.0,9,40.6915139,-73.935444,1.0,471.0,471.0,235.5,-4251074.293034113,9940.380457300393
71,2,655000,3,2.0,803.0,9,40.6967268,-73.9074036,1.5,267.6666666666667,401.5,160.6,-2415254.898483649,10393.877506434274
75,8,1685000,3,2.3738608579684373,2184.207862,14,40.7083434,-73.9081614,1.2637640449438203,728.0692873333334,920.107787559738,406.45039380973657,-6571579.920500779,9276.111378842588
77,8,2550000,3,2.3738608579684373,2184.207862,9,40.5785288,-73.9655666,1.2637640449438203,728.0692873333334,920.107787559738,406.45039380973657,-6555711.781769116,22038.306518653295
79,6,269000,5,2.0,2184.207862,14,40.6534433,-73.741373,2.5,436.8415724,1092.103931,312.0296945714286,-6547907.28301433,23735.35449906539
80,2,1650000,2,2.0,1065.0,11,40.7833546,-73.9499982,1.0,532.5,532.5,266.25,-3211964.384211859,1942.8928181880785
84,10,250000,5,2.0,2184.207862,14,40.66911,-73.789339,2.5,436.8415724,1092.103931,312.0296945714286,-6554691.473038577,19448.68050585088
85,11,950000,6,2.3738608579684373,3384.0,13,40.6499031,-73.7354706,2.5275280898876407,564.0,1425.5258426966293,404.1146679407549,-10142997.66297909,24369.259911379406
86,7,585000,3,2.0,1100.0,16,40.5784263,-74.105437,1.5,366.6666666666667,550.0,220.0,-3307790.2151071723,24776.335827894978
88,7,595000,3,1.0,1316.0,9,40.6239146,-73.9291226,3.0,438.6666666666667,1316.0,329.0,-3952330.117649214,17354.791031075038
89,2,215000,1,1.0,625.0,11,40.7267732,-74.002538,1.0,625.0,625.0,312.5,-1883677.8633439883,6140.468453022266
90,5,950000,1,1.0,621.0,12,40.7986579,-73.9679035,1.0,621.0,621.0,310.5,-1874048.3292860386,2461.1512944824008
91,7,314000,3,1.0,1572.0,9,40.6362368,-73.939679,3.0,524.0,1572.0,393.0,-4723278.8390827,15842.262047187647
94,10,790000,6,3.0,2520.0,16,40.6105856,-74.1268175,2.0,420.0,840.0,280.0,-7586040.337695106,22648.319566332968
96,0,1295000,4,2.0,1995.0,20,40.8809873,-73.9224337,2.0,498.75,997.5,332.5,-6028934.03618321,12306.624859935795
102,5,2280000,2,2.0,1400.0,12,40.7986579,-73.9679035,1.0,700.0,700.0,350.0,-4224907.666667398,2461.1512944824008
103,1,649000,4,3.0,2184.207862,9,40.6813429,-73.9981509,1.3333333333333333,546.0519655,728.0692873333334,312.0296945714286,-6575217.361347654,10838.957283561944
105,7,1495000,4,2.3738608579684373,3000.0,16,40.5247627,-74.1681035,1.6850187265917604,750.0,1263.7640449438204,470.6723392383875,-9016934.382739618,32561.331080184922
107,2,325000,2,1.0,979.0,11,40.7897507,-73.9487257,2.0,489.5,979.0,326.3333333333333,-2953006.7340820837,2394.3361242400224
111,7,694000,3,3.0,1360.0,16,40.5423126,-74.1555672,1.0,453.3333333333333,453.3333333333333,226.66666666666666,-4088755.9335756814,30342.420222302568
113,7,400000,4,2.0,1980.0,9,40.665357,-73.8770867,2.0,495.0,990.0,330.0,-5948391.447455395,14706.63341340481
114,10,346000,5,2.0,2184.207862,14,40.6837891,-73.8381042,2.5,436.8415724,1092.103931,312.0296945714286,-6561390.687984229,15253.960583838309
118,7,319000,3,2.0,1224.0,16,40.5604695,-74.1018925,1.5,408.0,612.0,244.8,-3678863.64198156,26443.271818276196
121,10,309000,6,2.0,2184.207862,14,40.5980695,-73.7632649,3.0,364.0346436666667,1092.103931,273.02598275,-6540929.675565392,26498.430363013576
122,7,650000,3,2.0,1522.0,14,40.723245,-73.7293286,1.5,507.3333333333333,761.0,304.4,-4569801.213664753,21232.96944923286
127,2,189000,2,2.0,966.0,19,40.6109595,-74.060351,1.0,483.0,483.0,241.5,-2905401.4099062136,19896.932549503654
128,2,759000,3,2.0,1200.0,13,40.7881763,-73.7877051,1.5,400.0,600.0,240.0,-3611599.109269451,15512.572478192633
130,2,499000,1,1.0,630.0,11,40.7702318,-73.9610161,1.0,630.0,630.0,315.0,-1899706.8954531348,1125.3685418075904
136,2,649000,3,2.0,1182.0,13,40.7302938,-73.8059248,1.5,394.0,591.0,236.4,-3553253.9355185223,14855.799045221867
140,11,90000,1,1.0,660.0,16,40.574451,-74.0929448,1.0,660.0,660.0,330.0,-1984145.1684339812,24715.13860018464
143,2,500000,4,3.0,1794.0,11,40.7905714,-73.9753392,1.3333333333333333,448.5,598.0,256.2857142857143,-5413388.461725412,1581.702375924691
144,7,350000,2,1.0,490.0,16,40.5731273,-74.089182,2.0,245.0,490.0,163.33333333333334,-1472954.6082910455,24719.880854374984
145,7,1099000,4,2.0,2184.207862,14,40.5595612,-73.9147409,2.0,546.0519655,1092.103931,364.0346436666667,-6548144.774110729,24609.172850348325
146,0,90000,1,1.0,450.0,20,40.8423705,-73.9234444,1.0,450.0,450.0,225.0,-1358643.9171694275,8342.508449751052
147,7,839000,4,2.0,2184.207862,14,40.6590909,-73.8451972,2.0,546.0519655,1092.103931,364.0346436666667,-6558037.331899101,16850.447825391475
152,5,1740000,2,2.0,1132.0,12,40.7986579,-73.9679035,1.0,566.0,566.0,283.0,-3416139.627619639,2461.1512944824008
153,7,650000,4,2.0,2244.0,14,40.6968706,-73.7390395,2.0,561.0,1122.0,374.0,-6734127.6456823265,21488.556750476157
157,0,449000,2,2.0,1549.0,13,40.7577991,-73.7159564,1.0,774.5,774.5,387.25,-4653970.719052701,21607.852560990126
158,7,1175000,3,2.0,2250.0,14,40.57372,-73.8577786,1.5,750.0,1125.0,450.0,-6742540.8646613825,24515.004876046743
159,12,2750000,3,2.0,2184.207862,12,40.7336687,-74.000518,1.5,728.0692873333334,1092.103931,436.8415724,-6583885.244149707,5377.496591196257
160,7,995000,3,2.0,2184.207862,14,40.657686,-73.8489131,1.5,728.0692873333334,1092.103931,436.8415724,-6558140.7208930515,16777.655957779385
161,2,2000000,3,2.0,2000.0,10,40.7086444,-74.0161953,1.5,666.6666666666666,1000.0,400.0,-6026197.948617303,8456.830542463966
168,7,675000,3,2.0,2400.0,9,40.610206,-73.91065,1.5,800.0,1200.0,480.0,-7203664.13302536,19204.357077892117
170,7,918888,3,2.0,2184.207862,14,40.760703,-73.880887,1.5,728.0692873333334,1092.103931,436.8415724,-6577604.136261023,7820.148221396128
171,12,2400000,4,2.0,1892.0,9,40.6674938,-73.9832146,2.0,473.0,946.0,315.3333333333333,-5692482.954625785,12181.811038876762
172,7,1730000,6,2.3738608579684373,3024.0,14,40.765022,-73.7422005,2.5275280898876407,504.0,1273.8741573033708,361.123745819398,-9090453.735349795,19337.9207798578
174,7,2500000,5,2.3738608579684373,1450.0,14,40.7679673,-73.8246067,2.1062734082397006,290.0,610.8192883895132,196.64054257724192,-4364034.770227394,12392.569712520868
177,7,1649000,3,2.0,2052.0,9,40.6164182,-74.0142443,1.5,684.0,1026.0,410.4,-6168709.060452312,18183.559012822152
179,10,949000,6,3.0,2184.207862,14,40.677393,-73.800094,2.0,364.0346436666667,728.0692873333334,242.68976244444445,-6556982.013505137,18167.647871527002
180,7,880000,3,2.0,1743.0,14,40.7668312,-73.7911175,1.5,581.0,871.5,348.6,-5243344.944349992,15214.334739251926
183,4,899999,3,2.0,1784.0,16,40.5788586,-74.11209,1.5,594.6666666666666,892.0,356.8,-5365173.092858285,24995.08421952757
184,2,198000,1,1.0,750.0,13,40.7127599,-73.83433,1.0,750.0,750.0,375.0,-2254499.5122505254,13553.551072524306
188,5,65000,3,1.0,230.0,11,40.7120703,-73.9983258,3.0,76.66666666666667,230.0,57.5,-692903.7596719379,7535.450103637034
189,7,1449999,3,2.0,2184.207862,14,40.7697773,-73.9014478,1.5,728.0692873333334,1092.103931,436.8415724,-6580899.399486462,5933.672890783998
191,1,1695000,5,2.0,2250.0,9,40.686947,-73.9261885,2.5,450.0,1125.0,321.42857142857144,-6767619.555175897,10677.575296320185
